epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,49379.9,1.04525,0.81914,1.93423,0.88883,0.86224,0.9012,0.63566,1.19554,0.84036,3.04704,0.0005875,0.0005875,0.0005875
127,49727.7,1.05365,0.8361,1.95784,0.89345,0.88187,0.91142,0.64205,1.21759,0.89888,3.07941,0.0005842,0.0005842,0.0005842
128,50123.2,1.04706,0.84945,1.93177,0.88868,0.87773,0.91841,0.63934,1.25412,0.92738,3.19502,0.0005809,0.0005809,0.0005809
129,50530.8,1.045,0.82228,1.94868,0.88875,0.85872,0.90691,0.63626,1.21795,0.88165,3.08328,0.0005776,0.0005776,0.0005776
130,50879.4,1.05327,0.83583,1.94995,0.93245,0.84594,0.916,0.64355,1.24228,0.91214,3.14308,0.0005743,0.0005743,0.0005743
131,51226.5,1.06921,0.85917,1.99018,0.89555,0.88574,0.91679,0.6353,1.23623,0.88789,2.98889,0.000571,0.000571,0.000571
132,51574.7,1.05936,0.86139,1.9844,0.91445,0.86692,0.92079,0.64782,1.24505,0.89308,3.22502,0.0005677,0.0005677,0.0005677
133,51974.2,1.02746,0.80183,1.93435,0.93452,0.82779,0.91412,0.63756,1.24206,0.85954,3.12804,0.0005644,0.0005644,0.0005644
134,52319.1,1.04414,0.81026,1.97321,0.90765,0.84769,0.90849,0.63062,1.2304,0.87434,3.16831,0.0005611,0.0005611,0.0005611
135,52710.3,1.03494,0.82826,1.93287,0.91193,0.85867,0.91876,0.64282,1.18743,0.83504,3.05524,0.0005578,0.0005578,0.0005578
136,53097.8,1.03858,0.80863,1.93236,0.88925,0.87078,0.91853,0.6286,1.26219,0.87378,2.94788,0.0005545,0.0005545,0.0005545
137,53442.4,1.02461,0.82432,1.90546,0.91316,0.87154,0.92383,0.64954,1.24394,0.90647,3.09125,0.0005512,0.0005512,0.0005512
138,53843.5,1.02245,0.79659,1.93503,0.93069,0.86359,0.92063,0.63544,1.26338,0.87024,3.12024,0.0005479,0.0005479,0.0005479
139,54240.5,1.00693,0.78668,1.89303,0.91834,0.88488,0.92588,0.64691,1.2574,0.88021,3.16659,0.0005446,0.0005446,0.0005446
140,54668.9,1.01505,0.79818,1.92477,0.90516,0.87071,0.91238,0.62982,1.25613,0.8843,3.25048,0.0005413,0.0005413,0.0005413
141,55015.1,1.02936,0.81855,1.96867,0.92241,0.8564,0.91736,0.62307,1.27528,0.88726,3.10424,0.000538,0.000538,0.000538
142,55416.6,1.00173,0.78297,1.91028,0.92447,0.8778,0.92631,0.64505,1.20968,0.82236,3.24957,0.0005347,0.0005347,0.0005347
